company_name,address_lines,person,phone,web
Concrete Solutions,"['1994 Plank Road', 'Sarnia, ON', 'N7T 7H5']",Rick Wagner,519-330-7905,N/A
Condeland Engineering Limited,"['350 Creditstone Road', 'Concord, ON', 'L4K 3Z2']",Robert DeAngelis,905-695-2096,http://www.condeland.com
Conestoga College,"['108 University Ave', 'Waterloo, ON', 'N2J 2W2']",Suzanne Moyer,519-885-0300,www.conestogac.on.ca
Conflux Architecture Inc,"['17 Mary Hill Crescent', 'Ottawa, ON', 'K0A 2Z0']",Simeon Rivier,613-797-0992,https://www.confluxarchitecture.ca/
Conquest Carpet & Flooring (Division of Trust Flooring),"['4965 Steeles Avenue West', 'North York, ON', 'M9L 1R4']",Stewart Turk,416-745-8518,http://www.trustflooring.com
Constellation HomeBuilder Systems,"['8133 Warden Avenue', 'Markham, ON', 'L6G 1B3']",Cathy Kotsopoulos,+1 (888) 723-2222,http://www.constellationhb.com
Construct and Conserve Building Inc.,"['5374 Scotch Line', 'Alliston, ON', 'L9R 1V2']","Dean Kleon, Scott Vanular Cooper Grant",905-370-0205,www.constructconserve.com
Continuum II Inc.,"['478 Elizabeth Street', 'Burlington, ON', 'L7R 2M2']",Michael Bonomo,(905) 332-6633,http://www.c2inc.com
Convoy Supply Ltd.,"['95 Welham Road', 'Barrie, ON', 'L4N 8Y3']",Dan Machen,705-722-5404,-
Convoy Supply Ltd.,"['1080 Squires Beach Road', 'Pickering, ON', 'L1W 3N8']",Dan Hannam,905-426-7099,www.convoy-supply.com
Cook Lands Group,"['169 Lexington Court, Unit B-1', 'Waterloo, ON', 'N2J 4R3']",Larry Masseo,519-573-4669,www.cookhomes.ca
COOLAID Studios Inc.,"['8395 Jane Street', 'Vaughan, ON', 'L4K 5Y2']",David Merklinger,+1 (416) 628-5577,http://www.coolaidstudios.com
Coolaid Studios Inc.,"['8395 Jane Street Suite 203', 'Vaughan, ON', 'L4K 5Y2']",Greg Cory,416-628-5577,www.coolaidstudios.com
Cooper Admin & Consulting,"['90 Goodwin Dr.', 'Guelph, ON', 'N1L 1T8']",Stacy Cooper,519-829-8839,www.cooperadmin.com
Cooper Equipment Rentals,"['146 Upper Centennial Parkway South', 'Stoney Creek, ON', 'L8J 2T7']",Jamie Carman,(905) 664-5225,http://www.cooperequipment.ca
Cooper Equipment Rentals,"['22 Pacific Avenue', 'Sudbury, ON', 'P3C 3H9']",Marc Potvin,705-560-2960,N/A
Cooper Equipment Rentals,"['146 Upper Centennial Parkway South', 'STONEY CREEK, ON', 'L8J 2T7']",Rob Copeland,905-664-5225,www.cooperequipment.ca
Cooper Equipment Rentals,"['2780 Sheffield Road', 'Ottawa, ON', 'K1B 3V9']",Derek Cashmore,613-701-6501,http://www.cooperequipment.ca
Cope Group Inc.,"['33 Davies Avenue', 'Toronto, ON', 'M4M 2A9']",Alla Groznaya,416-466-0600,http://www.CopeGroup.ca
Copp Building Materials Limited,"['45 York St.', 'London, ON', 'N6A 1A4']",Jake Draper,519-679-9000,www.coppsbuildall.com
Copperstone Kitchens,"['211 Colonnade Road', 'Ottawa, ON', 'K2E 7K3']",Mark Wardrop,613-288-1449,www.copperstonekitchens.ca
Coram Construction Solutions Inc.,"['200 Ronson Drive, Suite 203', 'Toronto, ON', 'M9W 5Z9']",Matthew Melchior,416-243-9019,http://www.coram.com
Corbeil Appliances,"['134 Rutherford Ct.', 'Ottawa, ON', 'K2K 1N6']",Sean Howard,613-769-7826,http://www.corbeilelectro.com
Corbett Land Strategies Inc.,"['5045 South Service Rd', 'Burlington, ON', 'L7L 5Y7']",Cindy Carignan,(905) 872-7633,http://corbettlandstrategies.ca/contact-us/
Cordell Carpet,"['25 Hops Drive', 'Haliburton, ON', 'K0M 1S0']",Glen Rickerby,705-457-2022,www.cordellcarpet.ca
Core Architects Inc.,"['130 Queens Quay East', 'Toronto, ON', 'M5A 0P6']",Babak Eslahjou,416-343-0400,http://www.corearchitects.com
Core Development Group,"['100 Adelaide St W', 'Toronto, ON', 'M5H 1S3']",Laura Coward,647-370-4121,http://www.coredevelopment.ca
Core Insurance Claims Contracting Inc.,"['94 Kenhar Drive', 'Weston, ON', 'M9L 1N2']",Ralph Mazza,416-740-9400,N/A
Coreslab Structures (ONT) Inc,"['205 Coreslab Drive', 'Dundas, ON', 'L9H 0B3']",Jason Franciosa,905-689-3993,http://www.coreslab.com
Coreslab Structures (Ont) Inc.,"['205 Coreslab Drive', 'Dundas, ON', 'L9H 0B3']",Anthony Franciosa,(905) 689-3993,http://www.coreslab.com
Corestar Mechanical Ltd.,"['R. R. #1', 'New Dundee, ON', 'N0B 2E0']",Robert Bogusat,519-579-5037,www.corestar.ca
Corlon Properties Inc.,"['200 Villagewalk Blvd.', 'London, ON', 'N6G 0W8']",Dave Schmidt,519-660-6200,www.sunningdalehome.com
Cornerstone Homes Niagara Ltd,"[""510 Doan's Ridge Road"", 'Welland, ON', 'L3B 5N7']",Brandon Anger,905-341-1427,www.cornerstonehomesniagara.com
Cornerstone Marketing Realty Inc.,"['8901 Woodbine Avenue', 'Markham, ON', 'L3R 9Y4']",Shab Rajabzadeh,905-503-9545,http://www.cornerstonemarketing.ca
Cornwall Construction Association,"['P.O. Box 343', 'Pembroke, ON', 'K8A 6X6']",Ryan Lalonde,123-123-1234,-
Cornwall Construction Association,"['P.O. Box 1478', 'Cornwall, ON', 'K6H 5V5']",Ryan Lalonde,-,www.cornwallconstruction.ca
Corporation of the City of Belleville,"['169 Front Street', 'Belleville, ON', 'K8N 2Y8']",Rod Bovay,(613) 968-6481,www.belleville.ca
Corsica Homes Inc.,"['10 Keith Ave', 'Collingwood, ON', 'L9Y 0W5']",Jeremy Marchildon,705-293-0637,www.corsicahomes.com
Cortel Group Inc.,"['2800 Highway 7', 'Vaughan, ON', 'L4K 1W8']",Peter Cortellucci,905-695-0800,http://www.cortelgroup.com
Cortina Kitchens Inc.,"['70 Regina Road', 'Woodbridge, ON', 'L4L 8L6']",Paolo Tommasino,866-554-7811,http://www.cortinakitchens.com
Corvinelli Homes,"['20 Drentex Street', 'Russell, ON', 'K4R 1A7']",John Corvinelli,613-445-8035,www.corvinellihomes.ca
Cosburn Giberson Landscape Architects Inc.,"['30 Centurian Drive', 'Markham, ON', 'L3R 8B8']",Max Lazo,905-475-6988,http://www.cgla.ca
Coscorp Inc.,"['6625 Kitimat Road', 'Mississauga, ON', 'L5N 6J1']",Peter Costigan,905-821-3666,http://www.coscorp.ca
Cosentino,"['665 Caledonia Road', 'Toronto, ON', 'M6E 4V8']",Andrea Hayman,(416) 247-9090,http://www.cosentino.com
Cosentino Canada Inc.,"['19th Street NE, Unit 101-111', 'Calgary, AB', 'T3J 0R1']",Chantal Cormier,514-335-8669,www.cosentino.com/en-ca
Cosmopolitan Homes,"['290 Lawrence Avenue West', 'North York, ON', 'M5M 1B3']",Daria Kapitonova,416-398-3600,http://www.cosmopolitanhomes.ca
Cosmopolitan Homes (Niagara) Ltd,"['290 Lawrence Avenue West', 'Toronto, ON', 'M5M 1B3']",Carl Smith,905-762-1800,http://www.cosmopolitanhomes.ca
Cottage Country Paving Ltd.,"['219 Laxton Township 8th Line', 'Norland, ON', 'K0M 2L0']",Darren Hellawell,705-454-1574,www.cottagcountrypaving.ca
Cotton Inc,"['2125 Fruitbelt Parkway', 'Niagara Falls, ON', 'L2J 0A5']",Richard Lawrence,(905) 262-2000,www.cottoninc.ca
Coughlan Homes,"['2700 Audley Road North', 'Ajax, ON', 'L1Z 1T7']",Tyler Russell,905-427-7703,www.coughlanhomes.com
Cougs Investments,"['2700 Audley Road North', 'Ajax, ON', 'L1Z 1T7']",Scott Collins,9054277703,http://www.coughlanhomes.com
Coulson Design Build,"['54 Balaclava Street South', 'Amherstburg, ON', 'N9V 2G4']",Drew Coulson,519-818-6601,coulsondesignbuild.com
Counterpoint Engineering Inc.,"['8395 Jane Street', 'Vaughan, ON', 'L4K 5Y2']",Patrick Turner,905-326-1404,http://www.counterpointeng.com
Country Glen Homes,"['4000 Steeles Avenue West', 'Woodbridge, ON', 'L4L 4V9']",Paul Quattrociocchi,905-851-9367,N/A
Country Green Homes Inc.,"['410 Industrial Dr. Unit C', 'Milton, ON', 'L9T 5A6']",Roberta Harvey,905-693-8525,N/A
Country Wide Homes Ltd.,"['1500 Highway 7', 'Concord, ON', 'L4K 5Y4']",Claudio Maggioni,905-907-1500,http://www.countrywidehomes.ca
County of Brant,"['66 Grand River St. N.', 'Paris, ON', 'N3L 2M2']",Richard Weidhaas,519-442-6324,www.brant.ca
Courtney Roofing Inc.,"['300 Exeter Road', 'London, ON', 'N6L 1A3']",Drew MacDonald,519-652-6859,www.courtneyroofing.com
Covenant Construction,"['15-105 Bessemer Road', 'London, ON', 'N6E 1P9']",Craig Hardy,519-473-1500,www.covenantconstruction.ca
Covington Group,"['P.O. Box 39023', 'London, ON', 'N5Y 5L1']",Carl DiNardo,519-453-4242,www.covingtongroup.com
Cowan Insurance Group Ltd.,"['705 Fountain Street N', 'Cambridge, ON', 'N1R 5T2']",David Outa,519-650-6360,N/A
Craiglee Home Improvements Ltd.,"['95 Bexhill Avenue', 'Scarborough, ON', 'M1L 3B9']",Ed Hussey,416-540-0503,http://www.craigleehomes.net
Create Design & CO. Inc.,"['160 Tycos Drive', 'Toronto, ON', 'M6B 1W8']",Theresa Pereira,416-901-7765,http://www.CreateDesignCo.ca
Create Rental Solutions Inc.,"['2177 County Road 42', 'Belle River, ON', 'N0R 1A0']",Roy Levy,888-533-3309,createrentalsolutions.ca
Creation Homes,"['4330 Champlain Rd', 'Bourget, ON', 'K0A 1E0']",Nicholas Simard,613-265-6098,https://creation-homes.com/
Creative Casuals,"['617 Douro Street', 'Stratford, ON', 'N5A 0B5']",Cathy Bieman,519-801-5320,creativecasuals.com
Creative Integrity,"['130 Lake Promenade', 'Toronto, ON', 'M8W 1A5']",Kevin O'Donnell,416-875-5551,http://www.cibuild.com
Creditview Condos Hamilton Inc.,"['250 Doney Crescent', 'Concord, ON', 'L4K 3A8']",Angelo Riccio,905-532-0041,N/A
Creek Side Village Inc.,"['6 Romar Drive', 'DUNDAS, ON', 'L9H 5E2']",Jim Brown,905-517-5504,www.mycreeksidevillage.ca
Crina General Construction Ltd.,"['399 Four Valley Drive', 'Concord, ON', 'L4K 5Y7']",John Sepe,905-738-7930,N/A
Criterium-Jansen Engineers,"['25 First Street', 'Orangeville, ON', 'L9W 2C8']",Marilyn Jansen,(519) 940-0571,www.criterium-jansen.com
Criterium-Jansen Engineers,"['25 First St.', 'Orangeville, ON', 'L9W 2C8']",Henry Jansen,519-940-0571,www.criterium-jansen.com
Criterium-Jansen Engineers,"['25 First Street', 'Orangeville, ON', 'L9W 2C8']",Henry J. Jansen,(647) 367-1267,http://www.criterium-jansen.com
Crompton Home Building Centre,"['807 James St.', 'DELHI, ON', 'N4B 2C9']",Dave Carpani,519-582-0240,www.https://www.homehardware.ca/store/16124
Crossford Construction Ltd,"['1 - 76 Holland Avenue', 'Ottawa, ON', 'K1Y 0X6']",Lindsay Nicol,613-729-5004,www.crossford.ca
Crown Homes of London,"['970 Gainsborough Road', 'London, ON', 'N6H 5L4']",Merv Bell,519-473-0723,www.crownhomesoflondon.com
Crozier & Associates Inc.,"['2800 High Point Drive', 'Milton, ON', 'L9T 6P4']",Aaron Wignall,(905) 875-0026,N/A
Crozier Heating Ltd,"['20 Frankford Cres', 'Trenton, ON', 'K8V 4L2']",Colin Crozier,613-955-0524,www.crozierheating.com
Crystal Glen Homes (2000) Inc.,"['8740 Jane Street', 'Concord, ON', 'L4K 0E7']",Steve Saccoccia Jr.,905-597-0227,http://www.crystalglenhomes.com
Crystal Homes Corporation,"['2031 James Street', 'Burlington, ON', 'L7R 1H2']",,(905) 574-4859,http://www.crystalhomes.com
Crystal Homes Corporation,"['2031 James Street', 'Burlington, ON', 'L7R 1H2']",Kathy Di Silvestro,289-337-3486,http://www.CrystalHomes.com
CS&P Architects Inc.,"['2345 Yonge Street', 'Toronto, ON', 'M4P 2E5']",Sam Spangnuolo,416-482-5002,https://www.csparch.com/
CSV Architects,"[""190 O'Connor St."", 'Ottawa, ON', 'K2p 2R3']",Jessie Smith,613-564-8118,http://www.csv.ca
CTN Developments,"['1315 Finch Avenue West', 'North York, ON', 'M3J 2H6']",Michael Nguyen,416-848-4848,https://www.CTNdevelopments.com
Cubberley Plumbing and Heating,"['485 James Street South, Unit 5', 'St. Marys, ON', 'N4X 1B9']",Tim Showers,519-349-2420,cubberleyplumbingandheating.com
"Culligan Real Estate Ltd., Brokerage","['62 Ontario Street, PO Box 962', 'Mitchell, ON', 'N0K 1N0']",Howard Culligan,519-272-5413,culliganrealestate.ca/
Culliton Brothers Limited,"['473 Douro Street, P.O. Box 850', 'Stratford, ON', 'N5A 3S9']",Tim Culliton,519-271-1981,culliton.com
Curated Properties,"['32 Sudbury Street', 'Toronto, ON', 'M6J 0G5']",Lucas Eisen,416-214-0303,http://www.CuratedProperties.com
Custom Floors Carpet One,"['532 Christina Street N.', 'Sarnia, ON', 'N7T 5W6']",Derek Walter,519-344-8855,http://www.customfloorscarpetonesarnia.com/
Custom Home Interiors & Corporate Housing Interiors Ltd,"['22 Antares Drive Unit L', 'Ottawa, ON', 'K2E 7Z6']",Tyler Dren,613-248-1244,www.customhomeinteriors.ca
Custom Integration Partners Inc.,"['1129 Sunset Drive', 'Kelowna, BC', 'V1Y 9Z5']",Brett Stenner,778-233-5568,http://www.CIPartners.ca
Custom Quality Built IHOMES Inc.,"['59 Bissonnette Ln. South', 'South Woodslee, ON', 'N0R 1V0']",Daniel Ilievski,519-818-2709,N/A
Customer Relationship Index,"['12 Murray Street', 'Grimsby, ON', 'L3M 3N7']",Shane Whitham,416-527-2727,N/A
CustomerInsight,"['8133 Warden Avenue, 7th Floor', 'Markham, ON', 'L6G 1B3']",Doron Barbalat,(705) 733-8300,http://www.customerinsight.ca
Cut Rite Construction,"['3019 Carp Road', 'Carp, ON', 'K0A 1L0']",Hubert Hutt,613-839-0808,www.cutriteconstruction.ca
Cutting Edge Insulation,"['177 Howard Road', 'Chatham, ON', 'N7M 5J6']",Ryan Lane,519-890-4715,cuttingedge-insulation.com
CWH at Midhurst Valley Inc.,"['1500 Hwy 7', 'Concord, ON', 'L4K 5Y4']",Richard Mariani,416-520-9514,www.CountryWideHomes.ca
D & A Business Management Solutions,"['5-1010 Polytek Road', 'Gloucester, ON', 'K1J 9H8']",Nicole Despatie,613-742-6565,www.da.ca
D & B Climate Care,"['49 Park Road', 'Simcoe, ON', 'N3Y 4J9']",Dave Murtland,519-428-4000,-
D & K Home Services by Enercare,"['6833Hwy 62', 'Belleville, ON', 'K8N 4Z5']",Darren Darragh,613-888-3769,https://www.dandkheating.ca/
D. Bottero & Associates Limited,"['4300 Steeles Avenue West', 'Vaughan, ON', 'L4L 4C2']",Oksana Vialykh,416-878-6522,http://www.dbottero.com
D.G. Biddle & Associates Limited,"['96 King Street East', 'Oshawa, ON', 'L1H 1B6']",Michael Carswell,905-576-8500,www.dgbiddle.com
D.G. Biddle & Associates Limited,"['96 King Street East', 'Oshawa, ON', 'L1H 1B6']",Michael Carswell,905-576-8500,http://www.dgbiddle.com
D.L. Engineering Inc.,"['9030 Leslie Street', 'Richmond Hill, ON', 'L4B 1G2']",Michael Salerno,905-597-5288,http://www.dlengineering.ca
Daffodil Developments,"['161 Dupont Street', 'Toronto, ON', 'M5R 1V5']",Maria Leyderman,647-463-6161,https://www.DaffodilDevelopments.com
Daikin Canada,"['1200 Rodick Rd.', 'Markham, ON', 'L3R 8C3']",Kaylie Chamberlin,613-292-0958,www.daikincomfort.com
"Daikin Comfort Technologies North America, U.L.C.","['8305 Jane Street', 'Vaughan, ON', 'L4K 5Y3']",Mike Perone,905-760-2737,http://www.goodmanmfg.com
Dala Decor,"['1790 Woodward Avenue', 'Ottawa, ON', 'K2C 0P7']",Troy Dancan,613-693-0770,http://www.daladecor.com/
Dalerose Country Homes,"['110 Main St.', 'Erin, ON', 'N0B 1T0']",Ted Bryk,519-833-7499,-
Dalerose Homes,"['110 Main Street', 'Erin, ON', 'N0B 1T0']",Ted Bryk,519-833-7499,http://dalerosehomes.ca
Dallas Carpentry Ltd.,"['5 Haas Road', 'Etobicoke, ON', 'M9W 3A1']",Gabriel Dalla-Nora,416-744-6742,http://www.dallascarpentry.com
Dalmar Columns Inc.,"['51 Brydon Drive', 'Toronto, ON', 'M9W 4N3']",Nicholas Wilson,416-747-6945,http://www.dalmar.ca
Dalmen Windows and Doors,"['5630 St-Catherine', 'St-Isdore, ON', 'K0C 2B0']",Dominic Alary,613-726-8719,www.dalmen.com
Dalron Construction Ltd.,"['130 Elm Street', 'Sudbury, ON', 'P3C 1T6']",Kristi Arnold,705-560-9770,www.dalron.com
Daltile of Canada,"['40 Granite Ridge Road', 'Concord, ON', 'L4K 5M8']",Nadia Hussen,+1 (416) 990-1855,https://www.Daltile.com
Daro Vinyl Products,"['2000 Hwy 69N', 'Val Caron, ON', 'P3N 1M1']",Roy Gareau,705-897-8914,www.darovinyl.com
Darwood Homes & Renos,"['341 Hwy 7A', 'Janetville, ON', 'L0B 1K0']",Rob Peltenburg,(705) 277-3427,www.darwoodhomes.ca
Dashwood Industries,"['34 Medway Cres.', 'London, ON', 'N5X 3S8']",Ken Frohwerk,(519) 858-4973,-
Dashwood Industries Inc. ,"['69323 Richmond St.', 'Centralia, ON', 'N0M 1K0']",Brian McNeil,(800) 265-4284,http://www.dashwood.com
Dashwood Industries Ltd.,"['28648 Centre Road,', 'Strathroy,, ON', 'N7G 3H6']",Stephen King,800-265-4284,dashwood.com
Dashwood Industries Ltd.,"['28648 Centre Road', 'Strathroy, ON', 'N7G 3H6']",David Brodhurst,519-228-6624,www.dashwood.com
Dave Brush Construction LTD.,"['3112 Limestone Road', 'Campbellville, ON', 'L0P 1B0']",Dave Brush,416-991-2814,https://www.DaveBrushConstruction.com
"Dave Davies Heating, Air-conditioning","['115 Frederick Street', 'Stratford, ON', 'N5A 3V6']",Dave Davies,519-271-1046,davedavies.ca
Davenport Homes,"['169 Lansdowne St E', 'Peterborough, ON', 'K9J 7Y8']",Mike Davenport,705-931-1931,www.davenporthomes.net
DAVESDUCTS,"['#80007 - 3100 Garden Street', 'Whitby, ON', 'L1N 0B7']",Stanley Santos,416-668-4607,www.davesducts.com
DAVESDUCTS,"['3100 Garden Street', 'Whitby, ON', 'L1N 0B7']",Dave Comia,416-668-4607,http://www.davesducts.com
David B. Searles Surveying,"['4255 Sherwoodtowne Boulevard', 'Mississauga, ON', 'L4Z 1Y5']",Alister Sankey,905-273-6840,N/A
David Schaeffer Engineering Ltd.,"['600 Alden Road', 'Markham, ON', 'L3R 0E7']",David Schaeffer,905-475-3080,http://www.dsel.ca
David Schaeffer Engineering Ltd.,"['120 Iber Road', 'Stittsville, ON', 'K2S 1E9']",Steve Pichette,613-836-0856,http://dsel.ca
David Small Designs,"['4-1405 Cornwall Rd', 'Oakville, ON', 'L6J 7T5']",Hilda Andrade,905-271-9100,http://www.davidsmalldesigns.com
Davie Real Estate Inc.,"['312 Woodhaven Court', 'Newmarket, ON', 'L3X 3A4']",R. Scott Davie,416-804-5677,http://www.davierealestateinc.com
Davies Howe LLP,"['425 Adelaide Street West', 'Toronto, ON', 'M5V 3C1']",Diana Cheptea,416-977-7088,http://www.davieshowe.com
Davis New Homes & Developments,"['170 Riverside Parkway', 'Frankford, ON', 'K0K 2C0']",David Davis,613-398-8451,davisnewhomes.ca
Davpart Inc.,"['4576 Yonge Street', 'Toronto, ON', 'M2N 6N4']",David Zeegen,416-222-3010,http://www.Davpart.com
Dayluxe Gallery,"['31 Cathedral High Street', 'Markham, ON', 'L6C 0N9']",Roberto Ou,905-888-1949,http://www.dayluxe.com
Dayside Industries Inc.,"['441 Henry Street', 'BRANTFORD, ON', 'N3S 7V6']",Steve Groff,519-759-5222,www.dayside.ca
Dayus Roofing,"['5120 Halford Road', 'Tecumseh, ON', 'N9A 6J3']",Frank Dayus,519-737-1920,dayusroofing.com
DB Custom Homes Inc.,"['1084 Botanical Drive', 'Burlington, ON', 'L7T 1V2']",Jessica Bernstein,905-627-2226,http://www.DBCustomHomes.ca
DBS Developments Inc.,"['11 Curity Avenue', 'Toronto, ON', 'M4B 1X4']",Bryan Levy,416-576-7071,http://www.dbsdevelopments.ca
DC Air,"['6968 McKeown Drive', 'Greely, ON', 'K4P 1A2']",Michelle Gibbons,613-526-1000,N/A
DC Realty Management Inc. o/a DC Dev Corp,"['7700 Keele Street', 'Vaughan, ON', 'L4K 2A1']",Christopher Dunn,416-473-1444,N/A
Dearie Contracting,"['278 Watline Ave.', 'Mississauga, ON', 'L4Z 1P4']",Michael Laskis,(905) 625-9113,N/A
Dearie Contracting Inc.,"['5690 McAam Rd.', 'Mississauga, ON', 'L4Z 1T2']",Jason Laskis,905-625-9113,http://www.deariehvac.ca
Deckmart Building Supply,"['100 Marycroft Avenue', 'Vaughan, ON', 'L4L 5Y4']",Arthur Harutyunyan,905-856-1177,http://www.deckmart.ca
Decksterity Carpentry Cont. Ltd.,"['23 Bridgeford Street South', 'Richmond Hill, ON', 'L4C 3V7']",Richard McCord,905-737-9905,http://www.decksteritycarpentry.com
DECO Homes Inc.,"['570 Applewood Crescent', 'Vaughan, ON', 'L4K 4B4']",Corey Brown,905-907-0300,http://www.decohomes.ca
Deco-Tile Inc.,"['143 Tycos Dr.', 'Toronto, ON', 'M6B 1W6']",John Di Fonzo,416-413-7985,http://www.DecoTile.com/
DeCola Windows & Doors Inc.,"['41 D Commerce Park Drive', 'Barrie, ON', 'L4N 8X1']",Paul DeCola,705-725-8111,www.decola.ca
Deer Creek Fine Homes Inc.,"[""5-190 Minet's Point Road, Suite 421"", 'Barrie, ON', 'L4N 8J8']",Mike Christensen,705-734-3337,www.dcfhomes.com
Defaveri Construction Inc.,"['1259 Arvin Ave.', 'Stoney Creek, ON', 'L8E 0H7']",,(905) 664-7046,http://www.defaveri.ca
Degagne Carpentry,"['452 Quae Quae Road', 'Corbeil, ON', 'P0H 1K0']",Marcel/Dan Degagne,(705) 752-4117,N/A
Del Sharp Electric Limited,"['Box 689', 'Haliburton, ON', 'K0M 1S0']",Gerald Sharp,705-457-2640,www.sharpelectric.ca
"Del Zotto, Zorzi LLP - Barristers & Solicitors","['4810 Dufferin Street', 'Downsview, ON', 'M3H 5S8']",Harry Herskowitz,416-665-5555,http://dzlaw.com
DeLange Homes,"['6-7091 Clayton Walk', 'London, ON', 'N6P 0G1']",Stephen DeLange,519-652-0101,www.delangehomes.com
Delbrook Group Inc.,"['10376 Yonge Street', 'Richmond Hill, ON', 'L4C 3B8']",Mehdi Shafiei,905-218-3600,https://www.DelbrookGroup.com
Dell Smart Home Solutions Inc.,"['261 Martindale Road, Unit #2', 'St. Catharines, ON', 'L2W 1A1']",Jason Dell,(905) 684-3355,-
Dellray Group,"['5 Mead Court', 'Toronto, ON', 'M2L 2A5']",Henry Li,416-529-7548,www.dellraygroup.com
Delpark Homes,"['8888 Keele Street Units 13 - 14', 'Concord, ON', 'L4K 2N2']",Daniel Di Giovanni,416-309-2009,www.delparkhomes.ca
Delta Urban Inc.,"['8800 Dufferin Street', 'Vaughan, ON', 'L4K 0C5']",Maria Venturo,905-660-7667,http://www.deltaurban.com
Delta-Rae Homes,"['34 Serene Court', 'Whtiby, ON', 'L1R 0L6']","Amanda Calabrese, Anthony Calabrese Carmen Calabrese",905-903-2552,www.delta-rae.com
DeMarchi Homes Inc.,"['278 Barton Street East', 'Stoney Creek, ON', 'L8E 2K6']",Frank Mercuri,(905) 664-9937,http://www.demarchihomes.ca
Dendron Forestry Services,"['131 Smirle Ave', 'Ottawa, ON', 'K1Y 0S4']",Astrid Nielsen,613-805-9663,http://www.dendronforestry.ca
DeNoble Homes,"['600 Euclid Street, Unit #5', 'Whitby, ON', 'L1N 5C2']",Steve DeNoble,905-444-9668,www.denoblehomes.com
Dentons Canada LLP,"['77 King Street West', 'Toronto, ON', 'M5K 0A1']",Katarzyna Sliwa,416-863-4511,http://www.dentons.com
Denys Builds Designs,"['54 Mason Terrace', 'Ottawa, ON', 'K1S 0K9']",Paul Denys,613-236-6516,www.denys.ca
Depencier Builders Ltd,"['PO Box 706 191 Queen Street', 'Dresden, ON', 'N0P 1M0']",Dave Depencier,(519) 683-4692,-
Derek Beachli Construction,"['Box 1358', 'Haliburton, ON', 'K0M 1S0']",Derek Beachli,705-457-7341,www.derekbeachliconstruction.com
DeSantis Homes,"['13 Windward Drive', 'Grimsby, ON', 'L3M 0J4']",Serina Carbone,289-235-7484,http://www.desantishomes.comdesantis.com
DeSantis Homes,"['13 Windward Dr. Suite 501', 'Grimsby, ON', 'L3M 0J4']",Gabriel DeSantis,(905) 664-7288,http://www.homesbydesantis.com
Design Build Solutions Limited / Shannex Ontario Developments Limited,"['4650 Eglinton Avenue West', 'Toronto, ON', 'M9R 4C8']",Tobe Omega,416-407-4031,N/A
Design First Interiors,"['116 Albert St, Suite 300', 'Ottawa, ON', 'K1P 5G3']",Nicole Hubert,613-562-2655,www.designfirstinteriors.com
Design for Happiness (DFH) Inc.,"['21951 Vanneck Road', 'Middlesex Centre, ON', 'N0M 2A0']",Nick Prigioniero,519-860-5561,www.designforhappiness.ca
Design HVAC Experts Inc.,"['820 Pinecrest Road', 'Ottawa, ON', 'K2B 6A9']",Matthew Pedersen,613-828-4440,www.designexperts.ca
Design Plan Services,"['900 The East Mall', 'Toronto, ON', 'M9B 6K2']",T.J. Cieciura,416-626-5445,http://www.designplan.ca
Design to Perfection Kitchen Concepts Inc.,"['1070 Stonechurch Road East Unit 6', 'Hamilton, ON', 'L8W 3K8']",,(905) 664-9218,http://www.designtoperfection.com
Design Works Engineering,"['181 Bay Street', 'Toronto, ON', 'M5J 2V1']",Haydar Al Dahhan,780-832-6212,http://www.DesignWorksEng.com
DesignAgency,"['845 Adelaide Street West', 'Toronto, ON', 'M6J 3X1']",Anwar Mekhayech,416-849-8092,http://www.thedesignagency.ca
Designers' Edge By Covers,"['297 Exeter Rd', 'London, ON', 'N6L 1G3']",Kevin Fellner,519-652-0222,www.coverscanada.ca
Designs by Santy Inc,"['43 Church Street, Unit 607', 'St. Catharines, ON', 'L2R 7E1']",Santy Yeh,905-680-6891,www.designsbysanty.com
Desjardins Financial Security Life Assurance Company,"['95 St. Clair Avenue West', 'Toronto, ON', 'M4V 1N7']",Benjamin Chua,416-926-2700,http://www.desjardins.com
Desjardins Painting Inc.,"['1966 Ninth Line Rd', 'Carleton Place, ON', 'K7C 3P2']",Robert Gingras,613-869-1728,N/A
Deslaurier Custom Cabinets Inc.,"['1050 Baxter Road', 'Ottawa, ON', 'K2C 3P1']",Tyler Doucet,613-596-5155,www.deslaurier.ca
DeSousa Homes Inc.,"['1122 Brock Street South', 'Whitby, ON', 'L1N 4L9']",Manuel DeSousa,905-668-2331,www.desousahomes.com
Desozio Homes Ltd.,"['1423 Upper Ottawa Street Unit 12', 'Hamilton, ON', 'L8W 3J6']",Nando De Caria,(905) 318-6990,http://www.desoziohomes.com
DETAILS Custom Ltd.,"['23855 Denfield Road', 'Denfield, ON', 'N0M 1P0']",Luke Oslizlo,519-318-5448,www.detailscustom.ca
Development Engineering,"['31 Mechanic St., Unit 301', 'PARIS, ON', 'N3L 1K1']",Jason Fleury,519-442-1441,www.deveng.net
Devonleigh Homes,"['P.O. Box 70', 'Orangeville, ON', 'L9W 2Z5']",Amanda Ponce,519-942-9046,-
Devonleigh Homes,"['P.O. Box 70', 'Orangeville, ON', 'L9W 2Z5']",Andy Kidd,(519) 942-3312,www.devonleighhomes.com
